id,cpf,nome_completo,emprego_atual,data_nascimento,situacao_civil,cliente_especial,rua,bairro,cidade,estado,CEP,idade
33,632.598.107-30,Eduarda da Rosa,Restaurador,1983-03-02,Solteiro(a),0,Aeroporto Hellena Rocha,Vila Da Luz,Porto,AL,47572-362,41
34,274.950.168-76,Ayla Marques,Agrimensor,2004-04-05,Divorsiado(a),0,Travessa Eloah Macedo,Santa Cecilia,Duarte do Sul,AM,04929-920,20
35,498.613.520-15,Sabrina Cassiano,Analista de sistemas,1976-01-17,Solteiro(a),0,Estrada Pimenta,Grajaú,da Costa,TO,37644-299,48
36,462.381.970-13,Sr. Igor Gomes,Radiologista,1999-11-03,Casado(a),0,Vale Moraes,Belvedere,Abreu,RR,19509-410,24
37,130.285.649-98,Sara Aparecida,Gari,1979-03-18,Casado(a),0,Fazenda da Mota,Tiradentes,Rios da Serra,SE,24738666,45
38,584.791.320-60,Anthony Leão,DJ,2004-09-22,Solteiro(a),0,Avenida de Rodrigues,Piratininga,Vieira,GO,95999-275,19
39,206.513.479-80,Maya Mendes,Paisagista,1996-06-22,Divorsiado(a),1,Núcleo de Guerra,Heliopolis,Jesus,CE,13375222,27
40,896.512.043-89,Ana Clara Lopes,Guia turistico,1980-12-01,Divorsiado(a),0,Ladeira de Silva,Santa Inês,Pastor,PA,81156058,43
41,036.145.728-62,Dra. Brenda Rezende,Patologista oral,1998-06-15,Casado(a),0,Alameda Lunna Cunha,Marajó,Araújo,PR,14687-675,25
42,215.370.869-95,Renan Farias,Pesquisador,1988-02-08,Casado(a),0,Aeroporto Matteo Cunha,Primeiro De Maio,Garcia,MS,88684-022,36
43,270.684.359-47,Alícia Santos,Regente,1986-07-18,Divorsiado(a),0,Estrada de Siqueira,Itapoa,Abreu,DF,67787071,37
44,942.301.786-03,Luiz Henrique Novais,Ferroviário,1982-12-02,Solteiro(a),0,Trecho de Montenegro,Glória,Moraes,DF,56143879,41
45,435.190.786-00,Srta. Heloisa das Neves,Defensor Público,1987-04-29,Casado(a),0,Morro Rodrigues,Conjunto Celso Machado,Cassiano,TO,46846304,37
46,625.874.930-56,Breno da Cruz,Estivador,2001-09-27,Casado(a),0,Vereda Nogueira,Conjunto Floramar,Rios da Serra,PA,46768012,22
47,873.021.596-02,Maria Laura Lopes,Regente,1962-02-08,Solteiro(a),0,Setor de Vargas,Tupi B,Casa Grande,PB,24540-202,62
48,208.314.567-44,Nathan Peixoto,Meteorologista,1987-08-08,Casado(a),0,Colônia João Lucas Barros,Nova Granada,das Neves,MS,11125475,36
49,071.392.856-59,João Pedro Aparecida,Office-boy,1973-12-05,Casado(a),0,Parque de Garcia,Barreiro,Pastor Grande,BA,69218511,50
50,931.482.760-78,Alexandre Garcia,Flautista,2000-11-11,Divorsiado(a),0,Distrito Barbosa,Vila Vista Alegre,Guerra do Oeste,AL,85566-888,23
51,102.493.768-22,Lavínia Souza,Corretor de seguros,1974-02-06,Solteiro(a),0,Área Maria Vitória Novaes,Corumbiara,Aparecida do Galho,RS,79972474,50
52,241.987.035-23,Antônio da Rocha,Acupunturista,2005-01-26,Casado(a),0,Loteamento Luiz Miguel Vasconcelos,Jardim Vitoria,Porto do Norte,AP,27944-410,19
53,196.503.827-12,José Pedro Nogueira,Motorista,1984-01-04,Solteiro(a),0,Campo de Abreu,São Vicente,Silveira Paulista,MT,52534-928,40
54,394.870.562-38,Valentina Mendonça,Kite-surfer,1960-12-11,Divorsiado(a),0,Pátio Ian Jesus,Caiçara - Adelaide,Cirino Verde,TO,68671-657,63
55,547.063.281-44,Bella Cavalcante,Pedagogo,1974-06-03,Divorsiado(a),0,Condomínio Barbosa,São Luiz,Alves,DF,85951125,49
56,057.491.382-32,Gabrielly Macedo,Bedel,1985-02-01,Casado(a),0,Viaduto Theo Monteiro,Vila São Francisco,Pacheco,RS,27895-802,39
57,358.476.290-10,Ana Carolina Pastor,Agente comunitário de saúde,1993-11-03,Casado(a),0,Estrada Miguel Gonçalves,Alípio De Melo,da Paz dos Dourados,RO,63114644,30
58,721.056.938-30,Anna Liz Jesus,Jogador de tênis de mesa,1979-12-15,Solteiro(a),0,Alameda de Rodrigues,Marajó,Guerra da Mata,MG,04517-747,44
59,832.650.917-59,Sra. Isabella Fonseca,Leiteiro,1970-08-09,Solteiro(a),0,Lagoa Gonçalves,Vista Do Sol,da Rocha dos Dourados,PA,93594-922,53
60,108.249.567-02,Dr. Levi Pereira,Produtor de multimídia,1967-07-13,Casado(a),0,Núcleo Rebeca Gomes,Vila Calafate,Araújo de da Cunha,AM,05843842,56
61,065.728.931-03,Bianca Gonçalves,Cenógrafo,1982-11-12,Divorsiado(a),0,Vereda da Mata,Conjunto Providencia,Teixeira de Barros,AM,54384-710,41
62,976.512.384-19,Joaquim da Rocha,Policial civil,1966-04-16,Solteiro(a),1,Chácara de Mendes,Marmiteiros,Camargo da Prata,MS,32878988,58
63,054.891.273-41,Fernanda Siqueira,Museólogo,1992-09-16,Divorsiado(a),0,Rodovia Diego Siqueira,Caiçara - Adelaide,Nogueira de Goiás,PI,23324211,31
64,091.475.683-48,Camila Fernandes,Fundidor de placa de gesso,1968-03-21,Casado(a),0,Travessa de da Mata,Novo Glória,Cavalcante,CE,42192113,56
65,340.796.158-84,Clara Gomes,Produtor fonográfico,1980-07-21,Casado(a),0,Morro Luan Aparecida,Conjunto São Francisco De Assis,Borges,SC,71348-482,43
66,721.058.634-26,Sr. Henry Gonçalves,Auxiliar de serviços gerais,1971-06-05,Solteiro(a),0,Lago de Teixeira,Heliopolis,da Cunha,PR,24493-041,52
67,745.130.829-41,Marcela Andrade,Enólogo,1987-02-03,Solteiro(a),0,Via de Rios,Esperança,Pacheco do Campo,GO,80670-842,37
68,436.879.051-01,Laura da Conceição,Piloto automobilístico,1964-07-24,Divorsiado(a),0,Fazenda de Sousa,Pindura Saia,Carvalho,SP,25292774,59
69,659.371.082-21,Isaque da Cunha,Engenheiro agrícola,1995-05-24,Divorsiado(a),0,Esplanada de Marques,Túnel De Ibirité,Santos do Oeste,PI,19958-079,29
70,145.827.063-71,Alice Guerra,Quadrinista,2001-12-24,Divorsiado(a),0,Largo Evelyn Rocha,Xodo-Marize,Brito Grande,CE,88233495,22
71,306.784.295-29,Bárbara Viana,Dermatologista,1991-01-10,Casado(a),0,Campo Alves,Monsenhor Messias,Fernandes,MA,86031952,33
72,697.305.214-25,Esther Pires,Advogado,1985-05-21,Casado(a),0,Estação de Melo,Camargos,Camargo das Pedras,ES,54568166,39
73,530.129.478-41,Ana Liz Pacheco,Mestre cervejeiro,1961-06-20,Casado(a),0,Trecho de Gonçalves,Vila Nova Gameleira 1ª Seção,Macedo,DF,03066-773,62
74,516.970.832-77,Dr. Rodrigo Farias,Ginasta rítmica,1959-07-10,Casado(a),1,Pátio de Duarte,Conjunto Lagoa,da Mota da Praia,MT,07731375,64
75,539.482.106-24,Diogo Barros,Toxicologista,1977-11-06,Divorsiado(a),0,Largo Ian Marques,Caiçara - Adelaide,Nogueira do Galho,AP,40075-592,46
76,458.621.390-60,Isabella Viana,Estatístico,2005-07-23,Solteiro(a),0,Rua Jesus,Vila São Geraldo,Freitas do Campo,SP,99011155,18
77,690.253.847-65,Dra. Maria Laura Porto,Brigadeiro,2005-03-22,Divorsiado(a),0,Trecho Duarte,Nossa Senhora De Fátima,Andrade,PI,98719-590,19
78,654.921.307-06,Cauã da Rocha,Mergulhador,1962-01-08,Solteiro(a),0,Esplanada de Abreu,Vila Havaí,Ribeiro da Mata,SP,95593-168,62
79,486.130.752-07,Srta. Kamilly Campos,Ecólogo,1986-05-21,Solteiro(a),0,Avenida Guilherme Fernandes,Vila Novo São Lucas,Silva de Melo,MT,06720-747,38
80,215.709.463-61,Apollo Garcia,Técnico em rede,1972-06-22,Casado(a),0,Recanto da Rosa,Vila Suzana Primeira Seção,Castro,AM,34316879,51
81,219.076.583-86,Srta. Valentina Sales,Torneiro mecânico,1989-04-22,Divorsiado(a),0,Trevo Marques,Vila Nossa Senhora Do Rosário,Ferreira Grande,SE,25770-789,35
82,593.876.042-92,Sofia Pimenta,Tatuador,1986-11-27,Casado(a),0,Quadra Pereira,Teixeira Dias,da Luz de Minas,SE,33893234,37
83,786.524.930-65,Raul Sampaio,Geradorista,1961-11-08,Casado(a),0,Passarela Nunes,Vila Bandeirantes,Moreira,SP,94567803,62
84,942.358.701-14,Natália Rios,Compositor,1982-05-06,Solteiro(a),0,Rodovia de da Rosa,São Vicente,Leão da Praia,RS,03383686,42
85,107.452.896-49,Ana Vitória Fernandes,Museólogo,1980-10-04,Casado(a),0,Lago Kaique Gonçalves,Olhos D'água,Lima do Oeste,ES,26519676,43
86,709.421.635-16,Vitor Fernandes,Arquiteto,1974-08-14,Solteiro(a),0,Estação Andrade,Nova Floresta,Moreira,PA,71907581,49
87,307.269.841-40,Julia Cardoso,Assistente de direção,1994-04-30,Solteiro(a),0,Lago Maria Luísa Rios,Vila Copasa,Porto,PR,28051731,30
88,145.320.697-34,João Vitor Correia,Consultor de moda,1990-01-12,Casado(a),0,Esplanada de Teixeira,Santa Efigênia,Costa,MA,98919-445,34
89,786.940.512-49,Srta. Maria Alice Ferreira,Torreiro/Torrista,1974-07-31,Divorsiado(a),0,Vale Maysa Lima,Serrano,Guerra do Galho,PB,11385-092,49
90,716.942.538-64,Maria Laura Pereira,Profissional de cinema,1994-12-08,Solteiro(a),0,Vereda Maria Fernanda Abreu,Planalto,Siqueira de Araújo,BA,70750451,29
91,362.471.590-99,Cecilia Sampaio,Guitarrista,1987-10-22,Solteiro(a),0,Trevo Agatha Alves,Luxemburgo,Gonçalves,RO,44488-729,36
92,058.924.617-85,Calebe Moura,Sargento,1986-06-02,Solteiro(a),0,Rua de Sousa,Alta Tensão 1ª Seção,Farias de Siqueira,RN,50458-792,37
93,046.597.312-43,Sr. Ravi Sá,Endodontista,1986-06-20,Casado(a),0,Praia Maria Clara Viana,Teixeira Dias,Correia,PB,80555-031,37
94,928.056.417-01,Bárbara Câmara,Trilheiro ou músico de cinema,1968-06-24,Divorsiado(a),0,Estrada Câmara,Europa,da Rosa,ES,53521216,55
95,175.283.604-90,Isabela Moreira,Letrista,1980-09-25,Divorsiado(a),0,Fazenda de Nascimento,Santa Maria,Santos do Oeste,RJ,07447800,43
96,378.956.240-83,Melissa Araújo,Engenheiro cartográfico,1990-12-02,Divorsiado(a),0,Praia de da Costa,Vila Pilar,Vasconcelos,RR,70615271,33
97,517.986.430-57,Davi Miguel Sampaio,Analista de sistemas,1986-10-23,Casado(a),0,Conjunto de Cavalcanti,Jonas Veiga,Jesus de Correia,DF,20682-240,37
98,371.640.285-08,Ágatha Cirino,Mensageiro,1991-03-01,Solteiro(a),0,Campo de Araújo,Mariquinhas,Campos,MA,46973941,33
99,054.371.968-57,Ana Vitória Rocha,Geofísico,1969-02-26,Divorsiado(a),0,Vale de Moreira,Gutierrez,Siqueira,RN,92743-541,55
100,236.017.948-96,Alícia Nascimento,Panfleteiro,1982-06-27,Solteiro(a),0,Vale de da Luz,Vitoria Da Conquista,Azevedo da Prata,SE,05247943,41
101,134.087.269-22,Caio Alves,Soldador,1966-07-30,Divorsiado(a),0,Colônia de Monteiro,Vila Santa Rosa,Fernandes,RJ,14353388,57
102,265.318.740-07,Heitor Camargo,Atendente,1970-11-08,Solteiro(a),0,Setor Rios,Flavio Marques Lisboa,Pacheco da Mata,SC,81236-647,53
103,409.516.827-76,Luiz Fernando Montenegro,Leão de chácara,1978-12-05,Casado(a),0,Vila de Almeida,Conjunto Novo Dom Bosco,Azevedo da Prata,PR,87314-996,45
104,078.136.924-03,Felipe Silva,Tecnólogo em esporte e lazer,2002-05-28,Solteiro(a),0,Loteamento Emanuelly Pastor,Acaba Mundo,Pires,PE,70680-762,22
105,346.905.718-48,Emilly da Paz,Corretor da bolsa de valores,1977-03-31,Solteiro(a),0,Vila de Machado,Nova Gameleira,Pacheco do Amparo,AL,50052017,47
106,641.708.529-58,Dra. Mirella Rezende,Meeiro,1992-11-29,Solteiro(a),0,Via Ana Clara da Cunha,São Tomaz,Novaes do Galho,RS,41056645,31
107,951.346.207-25,Ana Vieira,Topógrafo,1975-09-14,Divorsiado(a),0,Setor Maria Isis Correia,Manacas,Marques da Prata,AM,49880-049,48
108,421.869.750-76,Isaque Rodrigues,Montador de negativos,1963-09-16,Solteiro(a),0,Estação Oliveira,Barro Preto,Mendonça de Pinto,AC,30724696,60
109,198.063.742-31,Anthony Fernandes,Assistente de produção,1981-12-07,Divorsiado(a),0,Largo Enrico Machado,Conjunto Celso Machado,Moreira,MS,91216713,42
110,830.724.615-62,Ian Novaes,Panfleteiro,1997-06-28,Divorsiado(a),0,Trecho de Novaes,Fernão Dias,da Rosa,MA,79883-183,26
111,153.094.627-16,Isadora da Cruz,Tosador,1965-11-05,Solteiro(a),0,Favela Almeida,Santa Inês,Pastor,GO,77503593,58
112,948.205.673-65,Lucas Gabriel Silveira,Velejador,1976-04-28,Divorsiado(a),0,Alameda de da Paz,Bom Jesus,Leão,AL,65009-379,48
113,285.640.193-70,Ayla Guerra,Topógrafo,1992-02-08,Casado(a),0,Rodovia Sophie Freitas,Vila Havaí,da Conceição,PE,90219147,32
114,280.173.456-07,Yasmin Aparecida,Gastroenterologista,1961-11-29,Solteiro(a),0,Via de Guerra,Betânia,Campos,PA,74949-940,62
115,943.278.150-04,Camila Cavalcanti,Penhorista,1983-11-26,Casado(a),0,Largo de Montenegro,Vila Nova Cachoeirinha 1ª Seção,Rezende do Norte,AM,43715-133,40
116,321.584.069-33,Sra. Emilly Cavalcante,Teólogo,1990-05-26,Divorsiado(a),0,Largo Almeida,Acaba Mundo,da Paz do Norte,MT,97045-612,34
117,475.369.021-07,Marcos Vinicius da Mota,Repositor,1966-10-04,Divorsiado(a),0,Largo de Barbosa,Ipe,Caldeira,MG,05392823,57
118,792.861.045-02,Hellena da Rocha,Webdesigner,1966-06-08,Solteiro(a),0,Passarela Ana Luiza Moreira,Santo André,Barbosa de Fonseca,RN,31798864,57
119,156.783.209-12,Dra. Ayla Lopes,Esgrimista,1991-12-07,Solteiro(a),0,Lago Ramos,Jardim Dos Comerciarios,Fogaça Grande,SC,02036-677,32
120,925.140.783-50,Maysa Abreu,Capataz,1960-07-10,Solteiro(a),0,Campo Bruno da Rosa,Vila Ecológica,Ferreira,SP,38348706,63
121,218.739.456-55,Otto Aragão,Cadista,1991-05-29,Casado(a),0,Travessa Jesus,Vila Nova Gameleira 3ª Seção,Silva Grande,CE,59414728,33
122,976.543.208-92,Gael Novais,Pescador,1959-06-09,Solteiro(a),0,Ladeira de Porto,Santa Efigênia,Andrade das Pedras,PB,56673-978,64
123,530.718.649-57,Vinicius Câmara,Cerimonialista,1987-10-30,Divorsiado(a),0,Colônia de Novais,Inconfidência,Ribeiro,MG,11436087,36
124,495.362.810-15,Guilherme Andrade,Jogador de vôlei,1972-06-12,Divorsiado(a),0,Viaduto Apollo Cardoso,Bernadete,Brito,RJ,19324062,51
125,024.657.318-07,Dr. Fernando das Neves,Sapateiro,1989-10-10,Casado(a),0,Fazenda Cavalcante,Vila Paraíso,Moura de Brito,RO,55029816,34
126,453.960.821-51,Sara Barbosa,Quadrinista,1961-08-22,Divorsiado(a),0,Vale da Paz,Nova Suíça,das Neves,AL,16527982,62
127,749.821.350-88,Anthony Moraes,Artista de circo,1974-01-07,Solteiro(a),0,Morro de Azevedo,Silveira,Ribeiro,SE,64353-645,50
128,301.452.869-24,Maria Laura Albuquerque,Ciclista,1978-12-22,Casado(a),0,Largo de Azevedo,São Francisco Das Chagas,Fonseca do Sul,AP,85422365,45
129,309.726.154-07,Lorena Moreira,Editor,2005-06-12,Solteiro(a),0,Vila de Leão,Fernão Dias,Correia,ES,86041863,18
130,853.176.490-48,Brenda Campos,Cobrador de ônibus,1980-12-14,Divorsiado(a),0,Estrada de Vasconcelos,São Tomaz,Pacheco,DF,57834996,43
131,576.423.801-35,Oliver da Mota,Assessor de imprensa,1989-11-05,Divorsiado(a),0,Vila Vargas,Vila Jardim Leblon,Santos de Rios,MG,96169795,34
132,120.678.935-21,Liam Marques,Implantodontista,1961-04-09,Solteiro(a),0,Condomínio Abreu,Vila Nova Gameleira 3ª Seção,Cardoso Grande,SP,30879-279,63
133,130.289.764-04,Maria Alice Lima,Agricultor,2001-05-12,Casado(a),0,Condomínio Siqueira,São Luiz,Nogueira de Ferreira,TO,14563109,23
134,185.734.690-48,Stephany Vieira,Farmacêutico,1982-07-29,Casado(a),0,Feira de Azevedo,Vila Piratininga Venda Nova,Ribeiro de Pinto,AL,70710166,41
135,315.842.906-33,Brayan da Mata,Astrônomo,2000-01-20,Divorsiado(a),0,Parque de Sousa,Planalto,da Mata,AM,79009996,24
136,892.604.351-70,Alexandre da Conceição,Selecionador de pessoal,1974-07-11,Solteiro(a),0,Favela de Freitas,Pedreira Padro Lopes,Andrade,BA,00689-102,49
137,035.164.892-51,João Vitor Cardoso,Esgrimista,2000-05-14,Solteiro(a),0,Alameda Andrade,João Alfredo,Moreira,AP,78931248,24
138,907.534.812-60,Sra. Ayla da Rosa,Desenhista,1960-05-19,Casado(a),0,Trecho de Ribeiro,Bairro Das Indústrias Ii,Mendes da Prata,AM,64220-776,64
139,380.261.457-71,Yan Fernandes,Jogador de bocha,1979-01-10,Casado(a),0,Recanto Novais,Vila Coqueiral,Sousa,MS,29173323,45
140,581.369.420-05,Levi Marques,Cartunista,1991-06-21,Solteiro(a),0,Lago Lara da Mata,Andiroba,Sá da Serra,RR,94022870,32
141,156.823.079-68,Vitor Hugo Camargo,Contra regra,1975-11-28,Divorsiado(a),0,Rodovia Carvalho,Nossa Senhora Aparecida,Sá de da Rocha,MS,56808-441,48
142,064.735.821-26,Hellena Carvalho,Baterista,2002-10-17,Divorsiado(a),0,Feira Maria Julia Marques,Aeroporto,Martins do Campo,DF,23377-419,21
143,540.639.872-56,Ana Ribeiro,Corredor de atletismo,1971-03-30,Divorsiado(a),0,Ladeira Peixoto,Vila Madre Gertrudes 3ª Seção,Lima,SP,19778569,53
144,850.246.937-10,Aurora Lima,Adestrador de animais,1963-06-09,Divorsiado(a),0,Conjunto de Cirino,Guarani,Rodrigues,PI,71494-557,60
145,152.079.436-34,Sr. Davi Luiz das Neves,Peixeiro,1968-02-26,Solteiro(a),0,Quadra Mendonça,União,Alves do Sul,RN,12466524,56
146,257.341.908-88,Helena da Conceição,Eletricista de automóveis,1963-05-17,Casado(a),0,Estação Paulo Andrade,São Francisco,da Rosa Alegre,AC,67261-323,61
147,301.926.857-59,Maria Helena Montenegro,Lutador de kung fu,1960-06-09,Casado(a),0,Lago de Câmara,São Jorge 1ª Seção,Nunes de Câmara,SP,50967143,63
148,206.387.519-77,Isaac Montenegro,Retificador,1973-07-05,Divorsiado(a),0,Viela Henrique Guerra,Xodo-Marize,Moreira,RJ,14011-951,50
149,087.512.346-53,Mariah Porto,Selecionador de pessoal,2006-04-06,Solteiro(a),0,Condomínio Garcia,Vila Novo São Lucas,Borges,PE,12237-193,18
150,750.981.426-01,Benício Vasconcelos,Artista plástico,1963-07-14,Solteiro(a),0,Quadra de Pastor,Caetano Furquim,Nascimento de Goiás,AM,30930-086,60
151,673.042.859-74,Dr. Miguel Vargas,Representante comercial,2003-10-05,Casado(a),0,Estação de Câmara,Santa Cruz,da Costa da Prata,AP,68184-450,20
152,126.847.035-07,Davi Lucca Guerra,Técnico em taquigrafia,1968-08-30,Casado(a),0,Esplanada Cunha,Floramar,Ramos,SC,30925-476,55
153,350.276.418-26,Ísis Santos,Traumatologista,2005-09-02,Divorsiado(a),0,Praia Otávio Ramos,Xodo-Marize,Moura de Novaes,RJ,79234491,18
154,746.089.521-02,José Casa Grande,Gastroenterologista,1964-03-15,Casado(a),0,Avenida Luna Rios,Anchieta,Martins do Oeste,MT,53961-301,60
155,012.835.476-35,Sr. João Pedro da Costa,Instalador de linha telefônica,1997-02-20,Solteiro(a),0,Favela Samuel Fernandes,Barroca,Ferreira,PB,83527-444,27
156,348.601.952-05,Maria Luísa Abreu,Despachante,1990-08-12,Divorsiado(a),0,Chácara Yuri Borges,Vila Independencia 3ª Seção,Costela,MA,50730038,33
157,851.630.724-71,Calebe da Mata,Ceramista,2000-05-09,Casado(a),0,Trevo Zoe Fogaça,Apolonia,Araújo,MT,66443484,24
158,754.283.601-35,Caroline Borges,Ambientalista,1967-01-30,Divorsiado(a),0,Viela Ramos,Nova Pampulha,da Cruz das Flores,GO,34889-445,57
159,681.235.709-02,Lorenzo Martins,Lancheiro,2000-04-14,Casado(a),0,Travessa Novais,Palmeiras,Campos,AM,84650-889,24
160,267.543.198-28,Ana Beatriz Nogueira,Lutador de jiu-jitsu,1971-05-13,Solteiro(a),0,Aeroporto Vinícius Leão,Vila Real 2ª Seção,Sousa de Goiás,PB,76931439,53
161,136.097.258-77,Benicio Macedo,Operador de bombas,1995-04-08,Solteiro(a),0,Loteamento Lucca da Cunha,Vila Nova Cachoeirinha 1ª Seção,Vargas do Sul,AC,14950-960,29
162,905.473.862-65,Luan Castro,Maquinista,2005-03-23,Casado(a),0,Esplanada de Sá,Paulo Vi,Costa do Sul,AM,26367284,19
163,149.723.508-14,João Gabriel Pimenta,Datilógrafo,1983-11-25,Casado(a),0,Avenida de Novaes,Boa Esperança,Silva dos Dourados,SP,15195-716,40
164,024.751.869-76,Ana Laura Jesus,Perito judicial,2003-04-18,Solteiro(a),0,Chácara Lucas Nunes,Jaraguá,Caldeira,ES,08655-144,21
165,679.013.254-61,Isabel Rios,Repórter,1969-04-22,Divorsiado(a),0,Largo Ana Cecília Albuquerque,Castanheira,Guerra,DF,05247-543,55
166,067.894.312-50,Theo Andrade,Profissional de efeitos especiais,1962-02-27,Divorsiado(a),0,Praça de Monteiro,Paulo Vi,Ribeiro da Serra,DF,99684380,62
167,049.726.351-34,Igor Machado,Garçom,1996-03-24,Casado(a),1,Vila de Farias,Liberdade,da Rocha,PR,84696-132,28
168,871.635.240-80,Matheus Souza,Naturólogo,2001-11-22,Casado(a),0,Esplanada Cavalcante,Europa,Nogueira,RJ,53282-148,22
169,364.127.089-87,Ana Carolina da Rosa,Major,1996-07-22,Solteiro(a),0,Aeroporto Cirino,Jardim São José,Machado de Pacheco,BA,80168113,27
